Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor
Acura,Integra,16.919,16.36,Passenger,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,2/2/2012,58.28014952
Acura,TL,39.384,19.875,Passenger,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,6/3/2011,91.37077766
Acura,CL,14.114,18.225,Passenger,,3.2,225.0,106.9,70.6,192.0,3.47,17.2,26.0,1/4/2012,
Acura,RL,8.588,29.725,Passenger,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,3/10/2011,91.38977933
Audi,A4,20.397,22.255,Passenger,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,10/8/2011,62.7776392
Audi,A6,18.78,23.555,Passenger,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,8/9/2011,84.56510502
Audi,A8,1.38,39.0,Passenger,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,2/27/2012,134.6568582
BMW,323i,19.747,,Passenger,26.99,2.5,170.0,107.3,68.4,176.0,3.179,16.6,26.0,6/28/2011,71.19120671
BMW,328i,9.231,28.675,Passenger,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,1/29/2012,81.87706856
BMW,528i,17.527,36.125,Passenger,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,25.0,4/4/2011,83.9987238
Buick,Century,91.561,12.475,Passenger,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,11/2/2011,71.18145132
Buick,Regal,39.35,13.74,Passenger,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,9/3/2011,95.63670253
Buick,Park Avenue,27.851,20.19,Passenger,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,3/23/2012,85.82840825
Buick,LeSabre,83.257,13.36,Passenger,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,7/23/2011,84.25452581
Cadillac,DeVille,63.729,22.525,Passenger,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,2/23/2012,113.8545976
Cadillac,Seville,15.943,27.1,Passenger,44.475,4.6,275.0,112.2,75.0,201.0,,18.5,22.0,4/29/2011,115.6213578
Cadillac,Eldorado,6.536,25.725,Passenger,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,11/27/2011,113.7658739
Cadillac,Catera,11.185,18.225,Passenger,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,9/28/2011,83.48309358
Cadillac,Escalade,14.785,,Car,46.225,5.7,255.0,117.5,77.0,201.2,5.572,30.0,15.0,4/17/2012,109.5091165
Chevrolet,Cavalier,145.519,9.25,Passenger,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,8/17/2011,46.36334747
Chevrolet,Malibu,135.126,11.225,Passenger,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,3/19/2012,67.31446216
Chevrolet,Lumina,24.629,10.31,Passenger,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,5/24/2011,69.9913956
Chevrolet,Monte Carlo,42.593,11.525,Passenger,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,12/22/2011,72.03091719
Chevrolet,Camaro,26.402,13.025,Passenger,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,10/23/2011,81.11854333
Chevrolet,Corvette,17.947,36.225,Passenger,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,5/12/2012,141.14115
Chevrolet,Prizm,32.299,9.125,Passenger,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,9/11/2011,48.2976361
Chevrolet,Metro,21.855,5.16,Passenger,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,4/13/2012,23.27627233
Chevrolet,Impala,107.995,,Passenger,18.89,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0,6/18/2011,71.83803944
Chrysler,Sebring Coupe,7.854,12.36,Passenger,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,1/16/2012,65.95718396
Chrysler,Sebring Conv.,32.775,14.18,Passenger,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,11/17/2011,69.52135505
Chrysler,Concorde,31.148,13.725,Passenger,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,6/6/2012,80.02378204
Chrysler,Cirrus,32.306,12.64,Passenger,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,10/6/2011,53.56619987
Chrysler,LHS,13.462,17.325,Passenger,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,5/8/2012,101.3292807
Chrysler,Town & Country,53.48,19.54,Car,,,,,,,,,,7/13/2011,
Chrysler,300M,30.696,,Passenger,29.185,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23.0,2/10/2012,101.6552441
Dodge,Neon,76.034,7.75,Passenger,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,12/12/2011,52.08489875
Dodge,Avenger,4.734,12.545,Passenger,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,7/1/2012,65.65050834
Dodge,Stratus,71.186,10.185,Passenger,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,10/31/2011,67.87610784
Dodge,Intrepid,88.028,12.275,Passenger,22.505,2.7,202.0,113.0,74.7,203.7,3.489,17.0,,6/2/2012,80.83147017
Dodge,Viper,0.916,58.47,Passenger,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,8/7/2011,188.144323
Dodge,Ram Pickup,227.061,15.06,Car,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,3/6/2012,90.21170005
Dodge,Ram Wagon,16.767,15.51,Car,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,1/6/2012,71.13529161
Dodge,Ram Van,31.038,13.425,Car,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,7/26/2012,70.07832154
Dodge,Dakota,111.313,11.26,Car,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,11/25/2011,49.64500177
Dodge,Durango,101.323,,Car,26.31,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0,6/27/2012,92.85412522
Dodge,Caravan,181.749,12.025,Car,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,9/1/2011,61.22700031
Ford,Escort,70.227,7.425,Passenger,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,3/31/2012,44.08370946
Ford,Mustang,113.369,12.76,Passenger,21.56,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,1/31/2012,76.50918456
Ford,Contour,35.068,8.835,Passenger,17.035,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,8/20/2012,67.35101072
Ford,Taurus,245.815,10.055,Passenger,17.885,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,12/20/2011,62.5037395
Ford,Focus,175.67,,Passenger,12.315,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30.0,7/22/2012,43.11713201
Ford,Crown Victoria,63.403,14.21,Passenger,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,9/26/2011,80.49953671
Ford,Explorer,276.747,16.64,Car,31.93,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,4/25/2012,87.63549578
Ford,Windstar,155.787,13.175,Car,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,2/25/2012,62.09504839
Ford,Expedition,125.338,23.575,Car,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,9/14/2012,100.0248023
Ford,Ranger,220.65,7.85,Car,12.05,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,1/14/2012,47.38953131
Ford,F-Series,540.561,15.075,Car,26.935,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,8/16/2012,89.40193473
Honda,Civic,199.685,9.85,Passenger,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,10/21/2011,42.87909734
Honda,Accord,230.902,13.21,Passenger,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,5/20/2012,54.26954829
Honda,CR-V,73.203,17.71,Car,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,3/21/2012,60.08796662
Honda,Passport,12.855,17.525,Car,26.6,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,10/9/2012,83.6025008
Honda,Odyssey,76.029,19.49,Car,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,2/8/2012,85.21769134
Hyundai,Accent,41.184,5.86,Passenger,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,9/10/2012,36.67228358
Hyundai,Elantra,66.692,7.825,Passenger,11.799,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,11/15/2011,54.59004516
Hyundai,Sonata,29.45,8.91,Passenger,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,6/14/2012,58.758249
Infiniti,I30,23.713,19.69,Passenger,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,4/15/2012,92.43688923
Jaguar,S-Type,15.467,,Passenger,42.8,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21.0,11/3/2012,102.1789848
Jeep,Wrangler,55.557,13.475,Car,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,3/4/2012,48.67289791
Jeep,Cherokee,80.556,13.775,Car,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,10/5/2012,76.58443962
Jeep,Grand Cherokee,157.04,18.81,Car,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,12/10/2011,80.38777912
